nombre,clima,min_budget,min_dias,gustos,descripcion
Álamos - Sonora,caluroso|templado,2500,2,historia|naturaleza|relax,Pueblo mágico colonial en la Sierra Madre con arquitectura virreinal.
Bahía de Kino - Sonora,caluroso,3000,3,playa|naturaleza|relax,Playa tranquila con comunidades Seri y el Mar de Cortés turquesa.
Loreto - Baja California Sur,caluroso,4000,3,playa|historia|naturaleza|aventura,Primera misión de Baja California con kayak y ballenas en el Mar de Cortés.
La Paz - Baja California Sur,caluroso,5000,3,playa|naturaleza|aventura|relax,Capital bajacaliforniana con lobos marinos tiburones ballena y malecón.
Los Cabos - Baja California Sur,caluroso,12000,4,playa|relax|aventura|gastronomia,Lujo buceo y el Arco de Cabo San Lucas en el fin de la península.
Ensenada - Baja California,templado,3000,2,gastronomia|naturaleza|historia,Puerto vinícola con la Bufadora mariscos y el Valle de Guadalupe cercano.
Valle de Guadalupe - Baja California,templado,5000,2,gastronomia|relax|naturaleza,Capital vinícola de México con restaurantes de clase mundial entre viñedos.
Tijuana - Baja California,templado,2500,2,gastronomia|ciudad,Ciudad fronteriza con gastronomía reconocida y vida cultural vibrante.
San Luis Potosí - San Luis Potosí,templado,2000,2,historia|ciudad|gastronomia,Centro histórico Patrimonio con enchiladas potosinas y arquitectura barroca.
Real de Catorce - San Luis Potosí,frio|templado,2500,2,historia|aventura|naturaleza,Pueblo fantasma minero a 2700 metros con peregrinaciones y desierto huichol.
Xilitla - San Luis Potosí,caluroso|lluvioso,2000,2,naturaleza|aventura|historia,Jardín surrealista de Edward James en la Huasteca Potosina.
Huasteca Potosina - San Luis Potosí,caluroso|lluvioso,3000,3,naturaleza|aventura,Cascada de Tamul río Gallinas y pozas turquesas en la selva huasteca.
Morelia - Michoacán,templado,2500,3,historia|ciudad|gastronomia,Capital Patrimonio con catedral rosada carnitas michoacanas y artesanías.
Pátzcuaro - Michoacán,frio|templado,2000,2,historia|naturaleza|gastronomia,Lago y pueblo mágico con la mayor celebración del Día de Muertos del país.
Uruapan - Michoacán,templado|lluvioso,1800,2,naturaleza|gastronomia,Ciudad de los aguacates con el Parque Nacional Barranca del Cupatitzio.
Angangueo - Michoacán,frio,2000,2,naturaleza,Santuario de la mariposa monarca declarado Patrimonio de la Humanidad.
Zitácuaro - Michoacán,frio|templado,1800,2,naturaleza|relax,Reservas de mariposa monarca con bosques de oyamel en las montañas.
Cuernavaca - Morelos,caluroso|templado,2500,2,historia|relax|gastronomia,La ciudad de la eterna primavera con jardines palacios y pozole morelense.
Tepoztlán - Morelos,templado,1500,2,naturaleza|aventura|historia,Pirámide mercado artesanal y senderismo al Cerro del Tepozteco.
Tlayacapan - Morelos,caluroso|templado,1500,1,historia|gastronomia,Pueblo mágico con convento del siglo XVI y pulque curado artesanal.
Tlaxcala - Tlaxcala,templado,1500,2,historia|ciudad,Capital más pequeña del país con zona arqueológica de Cacaxtla y murales únicos.
Huamantla - Tlaxcala,templado,1500,2,historia|gastronomia,Pueblo mágico famoso por la Noche que Nadie Duerme y tapetes de aserrín.
Pachuca - Hidalgo,frio|templado,1500,2,historia|gastronomia|ciudad,Capital de la plata con pastes cornish y el Archivo Casasola de fotografía histórica.
Tula - Hidalgo,templado,1500,1,historia,Zona arqueológica tolteca con los Atlantes guardianes del templo de Tlahuizcalpantecuhtli.
Mineral del Monte - Hidalgo,frio,1500,2,historia|naturaleza|gastronomia,Pueblo mágico minero con influencia inglesa pastes y bosques de pino.
Toluca - Estado de México,frio,1500,2,historia|gastronomia|ciudad,Capital mexiquense con el cosmopolita y nevado cercano para senderismo.
Malinalco - Estado de México,caluroso|templado,1500,2,historia|naturaleza,Zona arqueológica tallada en roca viva con ambiente espiritual y naturaleza.
Metepec - Estado de México,templado,1500,1,historia|gastronomia,Ciudad artesanal con el Árbol de la Vida en barro y gastronomía mexiquense.
Zacatecas - Zacatecas,templado|frio,2500,2,historia|ciudad|gastronomia,Ciudad minera Patrimonio con teleférico catedral barroca y Cerro de la Bufa.
Jerez - Zacatecas,templado,1500,2,historia|gastronomia,Pueblo mágico natal de López Velarde con arquitectura colonial y mezcal.
Aguascalientes - Aguascalientes,templado,2000,2,historia|gastronomia|ciudad,Ciudad de las rosas con la Feria Nacional más grande del país en abril.
Colima - Colima,caluroso|templado,2000,2,historia|naturaleza|gastronomia,Capital tranquila con volcán activo laguna de Carrizalillo y tatemado.
Comala - Colima,caluroso|templado,1500,1,historia|gastronomia,Pueblo blanco inspiración de Pedro Páramo con ponche y botanas gratuitas.
Nayarit - Nayarit,caluroso|lluvioso,3500,3,playa|naturaleza|aventura,Riviera Nayarit con San Blas Sayulita y las islas Marías.
Sayulita - Nayarit,caluroso|lluvioso,3500,3,playa|aventura|gastronomia,Pueblo surf con ambiente bohemio gastronomía y playa en la Riviera Nayarit.
Tepic - Nayarit,templado|lluvioso,1800,2,historia|naturaleza,Capital nayarita cerca de la laguna de Santa María del Oro volcánica.
